スポット名,書籍名,人物,施設名,所在地,緯度,経度
永平寺飯島,九頭竜川,大島昌宏,,,36.092042,136.359014
上志比 藤巻,女の河,平岩弓枝,,,36.074036,136.42671
永平寺,永平の風,大谷哲夫,,吉田郡永平寺町志比5-15,36.055708,136.355393
永平寺,雲水街道をわたる,尾辻紀子,,,36.055708,136.355393
永平寺,新リア王,高村薫,,,36.055708,136.355393
永平寺,街道をゆく　18,司馬遼太郎,,,36.055708,136.355393
永平寺,マラリア,桂美人,,,36.055708,136.355393
永平寺,禅は急げ,桂美人,,,36.055708,136.355393
永平寺,いっしんの鐘（おりおりの心）,岡部伊都子,,,36.055708,136.355393
永平寺,,水原秋桜子,水原秋桜子句碑,,36.055708,136.355393
永平寺,,種田山頭火,種田山頭火句碑,,36.055708,136.355393
永平寺,,高浜虚子・熊沢泰禅・伊藤柏翠,高浜虚子・熊沢泰禅・伊藤柏翠句碑,,36.055708,136.355393
一乗谷,国盗り物語,司馬遼太郎,,福井市城戸ノ内町,35.999529,136.295521
一乗谷,越前一乗谷,水上勉,,,35.999529,136.295521
一乗谷,一乗谷炎上,井ノ部康之,,,35.999529,136.295521
一乗谷,朝倉義景,星亮一,,,35.999529,136.295521
一乗谷,越前一乗谷呪い殺人,山村正夫,,,35.999529,136.295521
一乗谷,ニッポン・あっちこっち,安西水丸,,,35.999529,136.295521
一乗滝,佐々木小次郎,村上元三,,福井市浄教寺町,35.978858,136.307729
一乗滝,横浜赤い靴殺人事件,石川真介,,,35.978858,136.307729
玉江跡碑,芭蕉「奥の細道」内なる旅,立松和平,,福井市花堂,36.039896,136.212864
あさむつ橋,枕草子（第６１段「橋は」）,清少納言,,福井市浅水二日町,36.005382,136.197696
あさむつ橋,栃の実（新編泉鏡花集第9巻）,泉鏡花,,,36.005382,136.197696
あさむつ橋,,西行法師・芭蕉,西行法師・芭蕉文学碑　,,36.005382,136.197696
文殊山,小説どろろ2,鳥海尽三,,福井市、鯖江市,35.990446,136.223866
文殊山,山本くんの怪難,雀野日名子,,,35.990446,136.223866
鷹巣海岸,愛さずにはいられない,藤田宜永,,福井市浜住町,36.13444,136.071023
居倉,,俵万智,俵万智歌碑,福井市居倉町43-25　越前水仙の里公園,36.012797,135.991034
居倉,越の道,水上勉,,,36.012797,135.991034
大安禅寺,,橘曙覧,橘曙覧墓,福井市田ノ谷町21-4　,36.102033,136.167816
田原町,よつ葉のエッセイ,俵万智,,福井市田原1丁目,36.074857,136.217345
藁屋跡,,橘曙覧,藁屋跡,福井市照手2-5-13,36.067588,136.209382
莨屋旅館跡,竜馬がゆく,司馬遼太郎,,福井市照手1-14-3,36.065374,136.210371
九十九橋,北陸幻夢譚,薄井ゆうじ,,福井市つくも1丁目,36.06336,136.211548
九十九橋,旧怪談（がしゃん）,京極夏彦,,,36.06336,136.211548
橘曙覧生家跡,,橘曙覧,橘曙覧生家跡,福井市つくも1丁目,36.061736,136.2107
福井市橘曙覧記念文学館,,橘曙覧,黄金舎跡,福井県福井市足羽1-6-34,36.059811,136.211192
福井市片町,日本タイムトラベル,小松左京,,福井市順化,36.065503,136.215155
福井城址,あちん,雀野日名子,,福井市大手,36.065477,136.220871
福井城址,きたぐに,深田久弥,,,36.065477,136.220871
福井城址,みだれ籠,津村節子,,,36.065477,136.220871
福井城址,アジアの砂,多田裕計,,,36.065477,136.220871
北ノ庄城址,柴田勝家,安西篤子,,福井市中央,36.060241,136.219654
北ノ庄城址,お市御寮人,舟橋聖一,,,36.060241,136.219654
北ノ庄城址,もしかして時代劇,宮本昌孝,,,36.060241,136.219654
北ノ庄城址,盲目物語,谷崎潤一郎,,,36.060241,136.219654
福井駅,汽車の罐焚き,中野重治,,福井市中央,36.062254,136.2233
福井駅,怒りの北陸本線,西村京太郎,,,36.062254,136.2233
福井駅,遠くの声に耳を澄ませて,宮下奈都,,,36.062254,136.2233
足羽川,,俵万智,俵万智歌碑,,36.06117,136.213447
足羽川,足羽川（抒情小曲集）,室生犀星,,,36.06117,136.213447
足羽川,はじめからその話をすればよかった,宮下奈都,,,36.06117,136.213447
足羽川,リミット,野沢尚,,,36.06117,136.213447
足羽山,俺たちの行進曲,有明夏夫,,,36.053108,136.20402
足羽山,山本くんの怪難,雀野日名子,,,36.053108,136.20402
安島・雄島,鮫,真継伸彦,,坂井市三国町安島,36.251014,136.118255
東尋坊,断崖（曽野綾子選集2）,曽野綾子,,坂井市三国町安島,36.237654,136.125424
東尋坊,栄光の岸壁,新田次郎,,,36.237654,136.125424
東尋坊,越前の女,石川真介,,,36.237654,136.125424
東尋坊,恐怖の海　東尋坊,西村京太郎,,,36.237654,136.125424
東尋坊,十津川警部北陸を走る,西村京太郎,,,36.237654,136.125424
東尋坊,東尋坊マジック,二階堂黎人,,,36.237654,136.125424
東尋坊,ボトルネック,米澤穂信,,,36.237654,136.125424
東尋坊,越前・伊豆 惜別の殺人ルート,金久保茂樹,,,36.237654,136.125424
東尋坊,軽薄派の発想（吉行淳之介全集13）,吉行淳之介,,,36.237654,136.125424
荒磯遊歩道,,山口誓子,山口誓子句碑,坂井市三国町米ケ脇～安島,36.231095,136.131555
荒磯遊歩道,,三好達治,三好達治詩碑,,36.231095,136.131555
荒磯遊歩道,,則武三雄,則武三雄詩碑,,36.231095,136.131555
